region,name,number,gender,birthYear,party,number of votes,percentage of votes,elected,incumbent,type of election,identity
連江縣第01選區,曹爾忠,1,男,1954,無黨籍及未經政黨推薦,2198,36.63%,,否,第 10 屆 立法委員選舉,區域
連江縣第01選區,李問,2,男,1989,民主進步黨,706,11.77%,,否,第 10 屆 立法委員選舉,區域
連江縣第01選區,陳雪生,3,男,1952,中國國民黨,2938,48.97%,*,是,第 10 屆 立法委員選舉,區域
連江縣第01選區,李克焜,4,男,1953,國會政黨聯盟,6,0.10%,,否,第 10 屆 立法委員選舉,區域
連江縣第01選區,王長明,5,男,1958,無黨籍及未經政黨推薦,152,2.53%,,否,第 10 屆 立法委員選舉,區域
金門縣第01選區,洪志恒,1,男,1968,金門高粱黨,899,1.92%,,否,第 10 屆 立法委員選舉,區域
金門縣第01選區,許丕肯,2,男,1965,中華新住民黨,428,0.91%,,否,第 10 屆 立法委員選舉,區域
金門縣第01選區,陳滄江,3,男,1955,無黨籍及未經政黨推薦,7303,15.57%,,否,第 10 屆 立法委員選舉,區域
金門縣第01選區,林志錦,4,男,1972,無黨籍及未經政黨推薦,264,0.56%,,否,第 10 屆 立法委員選舉,區域
金門縣第01選區,洪正,5,男,1991,台灣基進,1627,3.47%,,否,第 10 屆 立法委員選舉,區域
金門縣第01選區,盧月香,6,女,1964,中國生產黨,112,0.24%,,否,第 10 屆 立法委員選舉,區域
金門縣第01選區,陳福海,7,男,1963,無黨籍及未經政黨推薦,13801,29.42%,,否,第 10 屆 立法委員選舉,區域
金門縣第01選區,洪和成,8,男,1961,無黨籍及未經政黨推薦,283,0.60%,,否,第 10 屆 立法委員選舉,區域
金門縣第01選區,陳玉珍,9,女,1973,中國國民黨,21875,46.64%,*,是,第 10 屆 立法委員選舉,區域
金門縣第01選區,程耀德,10,男,1986,中華統一促進黨,311,0.66%,,否,第 10 屆 立法委員選舉,區域
宜蘭縣第01選區,黃定和,1,男,1958,無黨籍及未經政黨推薦,33026,12.56%,,否,第 10 屆 立法委員選舉,區域
宜蘭縣第01選區,陳歐珀,2,男,1962,民主進步黨,121526,46.23%,*,是,第 10 屆 立法委員選舉,區域
宜蘭縣第01選區,許育嘉,3,男,1973,勞動黨,1730,0.66%,,否,第 10 屆 立法委員選舉,區域
宜蘭縣第01選區,林獻山,4,男,1958,台灣維新,1618,0.62%,,否,第 10 屆 立法委員選舉,區域
宜蘭縣第01選區,呂國華,5,男,1956,中國國民黨,89380,34.00%,,否,第 10 屆 立法委員選舉,區域
宜蘭縣第01選區,孫博萮,6,女,1978,無黨籍及未經政黨推薦,15570,5.92%,,否,第 10 屆 立法委員選舉,區域
新竹縣第01選區,林為洲,1,男,1961,中國國民黨,74087,49.88%,*,是,第 10 屆 立法委員選舉,區域
新竹縣第01選區,劉復嵐,2,男,1974,無黨籍及未經政黨推薦,1176,0.79%,,否,第 10 屆 立法委員選舉,區域
新竹縣第01選區,余筱菁,3,女,1980,綠黨,7142,4.81%,,否,第 10 屆 立法委員選舉,區域
新竹縣第01選區,吳旭智,4,男,1976,國會政黨聯盟,9623,6.48%,,否,第 10 屆 立法委員選舉,區域
新竹縣第01選區,周江杰,5,男,1980,民主進步黨,54862,36.93%,,否,第 10 屆 立法委員選舉,區域
