姓名,姓名＋出生年次,關係者姓名,關係者姓名＋出生年次,關係者如何稱呼該人物,關係開始時間,關係結束時間,資料來源
王廷升,王廷升1965,王慶豐,1933,兒子,1965,,https://github.com/ptstaiwan/pts-data
王啓澧,王啓澧1964,王東一,,兒子,1964,,https://github.com/ptstaiwan/pts-data
王惠美,王惠美1968,王福入,,女兒,1968,,https://github.com/ptstaiwan/pts-data
江永昌,江永昌1969,趙長江,,姪子,1969,,https://github.com/ptstaiwan/pts-data
江玲君,江玲君1975,江吉源,1941,女兒,1975,,https://github.com/ptstaiwan/pts-data
江啟臣,江啟臣1972,江秋桂,,姪孫,1972,,https://github.com/ptstaiwan/pts-data
江啟臣,江啟臣1972,江春男,,堂侄,1972,,https://github.com/ptstaiwan/pts-data
江啟臣,江啟臣1972,劉哲彰,1972,姊（妹）夫,,,https://github.com/ptstaiwan/pts-data
何志偉,何志偉1982,薛凌,,兒子,1982,,https://github.com/ptstaiwan/pts-data
何志偉,何志偉1982,何金養,,孫子,1982,,https://github.com/ptstaiwan/pts-data
何志偉,何志偉1982,何利偉,,弟弟,,,https://github.com/ptstaiwan/pts-data
何志偉,何志偉1982,鍾佩玲,1979,大嫂,2013,,https://github.com/ptstaiwan/pts-data
何志偉,何志偉1982,陳勝宏,1944,兒子,1997,,https://github.com/ptstaiwan/pts-data
何欣純,何欣純1973,林淑滿,1946,女兒,1973,,https://github.com/ptstaiwan/pts-data
何欣純,何欣純1973,林昶佐,1976,表姐,1973,,https://github.com/ptstaiwan/pts-data
吳志揚,吳志揚1969,吳伯雄,,兒子,1969,,https://github.com/ptstaiwan/pts-data
吳怡農,吳怡農1980,吳乃仁,,姪子,1980,,https://github.com/ptstaiwan/pts-data
呂玉玲,呂玉玲1961,陳萬得,1953,妻子,1961,,https://github.com/ptstaiwan/pts-data
呂孫綾,呂孫綾1988,呂子昌,1958,女兒,1988,,https://github.com/ptstaiwan/pts-data
宋瑋莉,宋瑋莉1957,林文龍,1960,兒媳,1979,,https://github.com/ptstaiwan/pts-data
宋瑋莉,宋瑋莉1957,林家輝,1954,妻子,1979,2014,https://github.com/ptstaiwan/pts-data
李文,李文1964,李敖,1937,女兒,1964,,https://github.com/ptstaiwan/pts-data
李旻蔚,李旻蔚1988,李火土,,孫女,1988,,https://github.com/ptstaiwan/pts-data
李旻蔚,李旻蔚1988,黃書禹,,女兒,1988,,https://github.com/ptstaiwan/pts-data
李昆澤,李昆澤1964,陳菊,1950,姪子,1964,,https://github.com/ptstaiwan/pts-data
李武龍,李武龍1976,李和順,1952,兒子,1976,,https://github.com/ptstaiwan/pts-data
李彥秀,李彥秀1971,李金璋,1946,女兒,1971,,https://github.com/ptstaiwan/pts-data
李彥秀,李彥秀1971,侯冠群,1965,妻子,2008,,https://github.com/ptstaiwan/pts-data
李彥秀,李彥秀1971,李福人,,孫女,1971,,https://github.com/ptstaiwan/pts-data
李慶安,李慶安1959,李煥,,女兒,1959,,https://github.com/ptstaiwan/pts-data
李慶華,李慶華1948,李煥,,兒子,1948,,https://github.com/ptstaiwan/pts-data
李縉穎,李縉穎1985,李嘉進,1957,兒子,1985,,https://github.com/ptstaiwan/pts-data
李鴻鈞,李鴻鈞1959,李騰輝,,兒子,1959,,https://github.com/ptstaiwan/pts-data
李鴻鈞,李鴻鈞1959,李鴻源,,弟弟,1959,,https://github.com/ptstaiwan/pts-data
周佳琪,周佳琪1983,周典論,1955,女兒,1983,,https://github.com/ptstaiwan/pts-data
林岱樺,林岱樺1972,林三郎,2002,女兒,1972,,https://github.com/ptstaiwan/pts-data
林明溱,林明溱1951,林源朗,,姪孫,1951,,https://github.com/ptstaiwan/pts-data
林明溱,林明溱1951,林洋港,1927,姪孫,1951,,https://github.com/ptstaiwan/pts-data
林奕華,林奕華1968,林昭賢,1978,女兒,1968,,https://github.com/ptstaiwan/pts-data
林昶佐,林昶佐1976,何欣純,1973,表弟,1976,,https://github.com/ptstaiwan/pts-data
林昶佐,林昶佐1976,林淑滿,1946,姪子,1976,,https://github.com/ptstaiwan/pts-data
林益世,林益世1968,林仙保,1935,兒子,1968,,https://github.com/ptstaiwan/pts-data
林滄敏,林滄敏1958,林滄喜,1947,弟弟,1958,,https://github.com/ptstaiwan/pts-data
邱烽堯,邱烽堯1973,邱垂益,1950,兒子,1973,,https://github.com/ptstaiwan/pts-data
邱議瑩,邱議瑩1971,邱慶德,,孫女,1971,,https://github.com/ptstaiwan/pts-data
邱議瑩,邱議瑩1971,邱茂男,1942,女兒,1971,,https://github.com/ptstaiwan/pts-data
邱議瑩,邱議瑩1971,邱名璋,1974,姊姊,1971,,https://github.com/ptstaiwan/pts-data
柯志恩,柯志恩1962,柯文福,,女兒,1962,,https://github.com/ptstaiwan/pts-data
洪孟楷,洪孟楷1983,郭素春,1955,兒子,1983,,https://github.com/ptstaiwan/pts-data
